,player,player_id,line,stat,league_id,event_time,opp,Team,count,over_prob,under_prob,pred
34,Austin Ekeler,35465,14.5,bt66,1,2023-10-17T00:15:00,LAC,DAL,6,0.4935401259086074,0.5064598740913926,13.63590392716168
35,Austin Ekeler,35465,49.5,Rush Yards,1,2023-10-17T00:15:00,LAC,DAL,6,0.5110150593066356,0.48898494069336446,50.816773251580514
36,Austin Ekeler,35465,50.5,Rush Yards,1,2023-10-17T00:15:00,LAC,DAL,7,0.5,0.5,50.816773251580514
37,Austin Ekeler,35465,51.5,Rush Yards,1,2023-10-17T00:15:00,LAC,DAL,4,0.5170542635658915,0.48294573643410854,50.816773251580514
38,Austin Ekeler,35465,52.5,Rush Yards,1,2023-10-17T00:15:00,LAC,DAL,1,0.5,0.5,50.816773251580514
39,Austin Ekeler,35465,87.5,Rush+Rec Yards,1,2023-10-17T00:15:00,LAC,DAL,11,0.49679187843038886,0.5032081215696113,87.87037822548258
40,Austin Ekeler,35465,90.5,Rush+Rec Yards,1,2023-10-17T00:15:00,LAC,DAL,1,0.5,0.5,87.87037822548258
41,Austin Reed,67471,2.5,Passing Touchdowns,2,2023-10-17T23:30:00,JVS,WKY,1,0.4554079696394686,0.5445920303605313,2.5
42,Austin Reed,67471,300.5,Passing Yards,2,2023-10-17T23:30:00,JVS,WKY,1,0.5,0.5,302.7086413135998
43,Austin Reed,67471,304.5,Passing Yards,2,2023-10-17T23:30:00,JVS,WKY,1,0.5,0.5,302.7086413135998
44,Baker Mayfield,37483,220.5,Passing Yards,1,2023-10-22T17:00:00,TB,ATL,1,0.5,0.5,223.20309987384672
45,Baker Mayfield,37483,225.5,Passing Yards,1,2023-10-22T17:00:00,TB,ATL,1,0.5,0.5,223.20309987384672
46,Betnijah Laney,410218,1.5,3P,7,2023-10-19T00:00:00,NYL,LVA,5,0.6112600536193029,0.38873994638069703,2.0624121939651023
47,Betnijah Laney,410218,3.5,TRB,7,2023-10-19T00:00:00,NYL,LVA,5,0.4438081603435934,0.5561918396564066,3.4127926375766764
48,Betnijah Laney,410218,13.5,PTS,7,2023-10-19T00:00:00,NYL,LVA,6,0.47344932775957516,0.5265506722404248,13.431408663770348
49,Bijan Robinson,404689,62.5,Rush Yards,1,2023-10-22T17:00:00,TB,ATL,1,0.5,0.5,62.68538817427352
50,Billy Wiles,184412,0.5,Passing Touchdowns,2,2023-10-17T23:30:00,SAB,USM,1,0.6378061400482925,0.3621938599517075,1.0133383047927917
51,Billy Wiles,184412,177.5,Passing Yards,2,2023-10-17T23:30:00,SAB,USM,1,0.5,0.5,177.69874278493825
52,Brandin Cooks,38000,3.0,bt15,1,2023-10-17T00:15:00,LAC,DAL,2,0.5,0.5,3.272190150628173
53,Brandin Cooks,38000,3.5,bt15,1,2023-10-17T00:15:00,LAC,DAL,15,0.4161956352499817,0.5838043647500183,3.272190150628173
54,Brandin Cooks,38000,17.5,bt66,1,2023-10-17T00:15:00,LAC,DAL,6,0.506972400749194,0.49302759925080586,18.101372000525817
