,player,team,line,stat,league,date,time
1216,Patrick Beverley,2023-2024 Season,8.5,Technical Fouls,173,2023-10-26,2023-10-11 13:51:00
1217,Kyle Connor,2023-2024 Season,84.5,PTS,236,2023-10-11,2023-10-11 13:51:00
1218,Cole Perfetti,2023-2024 Season,51.5,PTS,236,2023-10-11,2023-10-11 13:51:00
1219,Adam Fantilli,2023-2024 Season,46.5,PTS,236,2023-10-12,2023-10-11 13:51:00
1220,Artemi Panarin,2023-2024 Season,93.5,PTS,236,2023-10-12,2023-10-11 13:51:00
1221,Tage Thompson,2023-2024 Season,90.5,PTS,236,2023-10-12,2023-10-11 13:51:00
1222,Mitchell Marsh,South Africa (T50),0.5,Sixes,162,2023-10-12,2023-10-11 13:51:00
1223,Steven Smith,South Africa (T50),35.5,1st Inning Runs,162,2023-10-12,2023-10-11 13:51:00
1224,Quinton de Kock,Australia (T50),3.5,Fours,162,2023-10-12,2023-10-11 13:51:00
1225,Mika Zibanejad,2023-2024 Season,84.5,PTS,236,2023-10-12,2023-10-11 13:51:00
1226,Marnus Labuschagne,South Africa (T50),2.5,Fours,162,2023-10-12,2023-10-11 13:51:00
1227,Rassie van der Dussen,Australia (T50),31.5,1st Inning Runs,162,2023-10-12,2023-10-11 13:51:00
1228,Rasmus Dahlin,2023-2024 Season,72.5,PTS,236,2023-10-12,2023-10-11 13:51:00
1229,Jack Hughes,2023-2024 Season,102.5,PTS,236,2023-10-12,2023-10-11 13:51:00
1230,Rassie van der Dussen,Australia (T50),2.5,Fours,162,2023-10-12,2023-10-11 13:51:00
1231,David Warner,South Africa (T50),32.5,1st Inning Runs,162,2023-10-12,2023-10-11 13:51:00
1232,Quinton de Kock,Australia (T50),29.5,1st Inning Runs,162,2023-10-12,2023-10-11 13:51:00
1233,Dylan Larkin,2023-2024 Season,76.5,PTS,236,2023-10-12,2023-10-11 13:51:00
1234,Marnus Labuschagne,South Africa (T50),28.5,1st Inning Runs,162,2023-10-12,2023-10-11 13:51:00
1235,Nico Hischier,2023-2024 Season,77.5,PTS,236,2023-10-12,2023-10-11 13:51:00
1236,Aiden Markram,Australia (T50),26.5,1st Inning Runs,162,2023-10-12,2023-10-11 13:51:00
1237,Tyler Toffoli,2023-2024 Season,70.5,PTS,236,2023-10-12,2023-10-11 13:51:00
1238,Kirill Kaprizov,2023-2024 Season,97.5,PTS,236,2023-10-12,2023-10-11 13:51:00
