,prop_id,player,player_id,line,stat,league_id,event_time,opp,Team,count,over_prob,under_prob,pred,scrape_time
1195,c8fcfe0b-1,LaMelo Ball,43460,15.5,TRB+AST,3,2023-10-30 18:00:00-05:00,CHA,BKN,6,0.4607143607438925,0.5392856392561075,15.25873735353964,2023-10-31 09:18:00-05:00
1196,c90f5e7c-4,Isaiah Stewart,242076,9.5,TRB+AST,3,2023-10-30 19:00:00-05:00,OKC,DET,2,0.5046155356967496,0.4953844643032504,9.703007476608065,2023-10-31 09:18:00-05:00
1197,c9993793-2,Jerami Grant,43558,2.5,AST,3,2023-10-30 18:30:00-05:00,TOR,POR,5,0.4773267105313799,0.5226732894686199,2.5806437959868784,2023-10-31 09:18:00-05:00
1198,ca38c3dd-9,Michael Mayer,410794,2.5,Receptions,1,2023-10-30 19:15:00-05:00,DET,LV,10,0.4470609412602776,0.5529390587397224,2.466965904963632,2023-10-31 09:18:00-05:00
1199,ca39df7b-6,Ben Simmons,43313,0.5,Techs,3,2023-10-30 18:00:00-05:00,CHA,BKN,1,0.29975671918443,0.70024328081557,0.3564586871216589,2023-10-31 09:18:00-05:00
1200,cab1106a-f,Marcus Smart,43464,13.5,PTS,3,2023-10-30 19:00:00-05:00,MEM,DAL,3,0.5183513540427508,0.4816486459572492,14.325326010258772,2023-10-31 09:18:00-05:00
1201,cab1106a-f,Marcus Smart,43464,14.5,PTS,3,2023-10-30 19:00:00-05:00,MEM,DAL,5,0.4949766918501849,0.5050233081498151,14.325326010258772,2023-10-31 09:18:00-05:00
1202,cb61471d-d,Markelle Fultz,43228,1.5,BLK+STL,3,2023-10-30 21:30:00-05:00,LAL,ORL,2,0.4730110357004053,0.5269889642995947,1.5915891269694766,2023-10-31 09:18:00-05:00
1203,cb67b876-b,Davante Adams,36286,23.5,Longest Reception,1,2023-10-30 19:15:00-05:00,DET,LV,1,0.5,0.5,24.511102910883803,2023-10-31 09:18:00-05:00
1204,cb67b876-b,Davante Adams,36286,24.5,Longest Reception,1,2023-10-30 19:15:00-05:00,DET,LV,10,0.4942063553195457,0.5057936446804543,24.511102910883803,2023-10-31 09:18:00-05:00
1205,cb71d50b-7,Giannis Antetokounmpo,43416,45.5,PTS+TRB+AST,3,2023-10-30 19:00:00-05:00,MIL,MIA,6,0.5020444128889932,0.4979555871110068,45.71692687351648,2023-10-31 09:18:00-05:00
1206,cba43ef8-5,Obi Toppin,43307,12.5,PTS+TRB,3,2023-10-30 18:00:00-05:00,IND,CHI,6,0.4891148873922292,0.5108851126077708,12.56978574616908,2023-10-31 09:18:00-05:00
1207,cbe2d1c7-9,Luka Doncic,93,7.5,AST,3,2023-10-30 19:00:00-05:00,MEM,DAL,8,0.5007116227051899,0.4992883772948102,7.672763399148463,2023-10-31 09:18:00-05:00
1208,cbee28c2-5,Nikola Vucevic,3231,1.5,TO,3,2023-10-30 18:00:00-05:00,IND,CHI,2,0.4476418864908073,0.5523581135091926,1.5142212748757296,2023-10-31 09:18:00-05:00
1209,cc121fdd-8,Gordon Hayward,43548,0.5,STL,3,2023-10-30 18:00:00-05:00,CHA,BKN,8,0.5890018502241419,0.4109981497758581,0.8874887584713536,2023-10-31 09:18:00-05:00
1210,cc6f74f5-7,Jalen Williams,241037,7.5,TRB+AST,3,2023-10-30 19:00:00-05:00,OKC,DET,5,0.5165405931340868,0.4834594068659131,7.781978967182513,2023-10-31 09:18:00-05:00
1211,cca40d60-4,Tyrese Haliburton,42813,2.5,3P,3,2023-10-30 18:00:00-05:00,IND,CHI,12,0.540126687272534,0.459873312727466,2.838508080675912,2023-10-31 09:18:00-05:00
