Player,G,Date,Series,Tm,H/A,Opp,G#,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Pos,KM
Kevin Durant,1,2018-04-14,WC1,GSW,1,SAS,1,21,1,31.6,9,17,.529,1,4,.250,5,5,1.000,1,8,9,7,2,0,4,2,24,20.9,+21,PF-SF,15
Kevin Durant,2,2018-04-16,WC1,GSW,1,SAS,2,15,1,38.88333333333333,10,19,.526,3,9,.333,9,10,.900,0,6,6,6,0,1,2,4,32,25.4,+12,PF-SF,15
Kevin Durant,3,2018-04-19,WC1,GSW,0,SAS,3,13,1,34.0,9,17,.529,1,6,.167,7,7,1.000,0,9,9,6,0,0,4,3,26,19.4,+18,PF-SF,15
Kevin Durant,4,2018-04-22,WC1,GSW,0,SAS,4,-13,1,40.81666666666667,12,28,.429,4,13,.308,6,7,.857,1,12,13,2,0,1,3,0,34,22.2,-6,PF-SF,15
Kevin Durant,5,2018-04-24,WC1,GSW,1,SAS,5,8,1,40.5,8,19,.421,1,8,.125,8,8,1.000,0,6,6,5,1,2,5,1,25,17.2,+8,PF-SF,15
Kevin Durant,6,2018-04-28,WCS,GSW,1,NOP,1,22,1,32.36666666666667,10,21,.476,3,6,.500,3,4,.750,2,11,13,2,0,2,4,2,26,17.6,+23,PF-SF,15
Kevin Durant,7,2018-05-01,WCS,GSW,1,NOP,2,5,1,41.3,11,23,.478,2,7,.286,5,6,.833,0,6,6,7,2,3,2,1,29,25.3,-5,PF-SF,15
Kevin Durant,8,2018-05-04,WCS,GSW,0,NOP,3,-19,1,35.25,8,18,.444,1,6,.167,5,6,.833,0,3,3,3,2,0,1,1,22,15.8,-24,PF-SF,15
Kevin Durant,9,2018-05-06,WCS,GSW,0,NOP,4,26,1,36.31666666666667,15,27,.556,2,5,.400,6,6,1.000,1,8,9,5,1,1,2,1,38,31.0,+23,PF-SF,15
Kevin Durant,10,2018-05-08,WCS,GSW,1,NOP,5,9,1,37.233333333333334,10,18,.556,1,4,.250,3,5,.600,0,6,6,7,2,0,1,2,24,21.5,+13,PF-SF,15
Kevin Durant,11,2018-05-14,WCF,GSW,0,HOU,1,13,1,40.266666666666666,14,27,.519,3,6,.500,6,6,1.000,0,3,3,1,0,1,1,2,37,24.2,+11,PF-SF,15
Kevin Durant,12,2018-05-16,WCF,GSW,0,HOU,2,-22,1,35.416666666666664,13,22,.591,3,7,.429,9,9,1.000,1,2,3,0,0,0,5,5,38,22.1,-28,PF-SF,15
Kevin Durant,13,2018-05-20,WCF,GSW,1,HOU,3,41,1,35.21666666666667,9,19,.474,3,8,.375,4,4,1.000,2,4,6,6,1,0,0,0,25,23.1,+27,PF-SF,15
Kevin Durant,14,2018-05-22,WCF,GSW,1,HOU,4,-3,1,43.05,9,24,.375,1,5,.200,8,8,1.000,1,11,12,3,0,0,2,1,27,17.5,+2,PF-SF,15
Kevin Durant,15,2018-05-24,WCF,GSW,0,HOU,5,-4,1,40.2,8,22,.364,3,6,.500,10,10,1.000,0,4,4,0,0,1,2,3,29,15.5,+2,PF-SF,15
Kevin Durant,16,2018-05-26,WCF,GSW,1,HOU,6,29,1,35.3,6,17,.353,1,5,.200,10,14,.714,2,5,7,4,0,1,1,0,23,17.3,+13,PF-SF,15
Kevin Durant,17,2018-05-28,WCF,GSW,0,HOU,7,9,1,44.333333333333336,11,21,.524,5,11,.455,7,10,.700,0,5,5,5,1,3,2,3,34,27.4,+10,PF-SF,15
Kevin Durant,18,2018-05-31,FIN,GSW,1,CLE,1,10,1,46.28333333333333,8,22,.364,1,7,.143,9,10,.900,0,9,9,6,1,3,1,3,26,21.2,+17,PF-SF,15
Kevin Durant,19,2018-06-03,FIN,GSW,1,CLE,2,19,1,38.166666666666664,10,14,.714,2,3,.667,4,4,1.000,0,9,9,7,0,2,3,3,26,25.0,+24,PF-SF,15
Kevin Durant,20,2018-06-06,FIN,GSW,0,CLE,3,8,1,43.25,15,23,.652,6,9,.667,7,7,1.000,1,12,13,7,1,1,3,3,43,39.6,+15,PF-SF,15
Kevin Durant,21,2018-06-08,FIN,GSW,0,CLE,4,23,1,37.63333333333333,7,17,.412,0,3,.000,6,6,1.000,1,11,12,10,1,3,2,3,20,21.8,+30,PF-SF,15
Kevin Durant,1,2019-04-13,WC1,GSW,1,LAC,1,17,1,32.4,8,16,.500,1,2,.500,6,6,1.000,0,4,4,3,1,3,3,2,23,17.6,+17,PF-SF,15
Kevin Durant,2,2019-04-15,WC1,GSW,1,LAC,2,-4,1,34.4,5,8,.625,0,1,.000,11,12,.917,0,5,5,5,3,1,9,6,21,14.3,+2,PF-SF,15
Kevin Durant,3,2019-04-18,WC1,GSW,0,LAC,3,27,1,29.516666666666666,14,23,.609,3,10,.300,7,8,.875,1,3,4,7,1,1,5,3,38,29.1,+32,PF-SF,15
Kevin Durant,4,2019-04-21,WC1,GSW,0,LAC,4,8,1,37.88333333333333,12,21,.571,3,6,.500,6,6,1.000,0,7,7,6,1,0,3,3,33,26.2,+9,PF-SF,15
Kevin Durant,5,2019-04-24,WC1,GSW,1,LAC,5,-8,1,41.25,14,26,.538,5,12,.417,12,12,1.000,0,6,6,6,2,1,1,4,45,38.5,+2,PF-SF,15
Kevin Durant,6,2019-04-26,WC1,GSW,0,LAC,6,19,1,42.05,15,26,.577,6,14,.429,14,15,.933,0,6,6,5,1,1,4,4,50,38.8,+18,PF-SF,15
