player,G,date,age,team,H/A,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pos,season,KM
Amir Coffey,3,2023-10-31,26-136,LAC,1,ORL,16,0,10.266666666666667,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-4,SF,2024,15
John Collins,1,2023-10-25,26-032,UTA,1,SAC,-16,1,30.933333333333334,6,11,.545,1,3,.333,2,2,1.000,3,8,11,2,1,0,0,3,15,15.4,-9,PF,2024,15
John Collins,2,2023-10-27,26-034,UTA,1,LAC,2,1,34.25,4,11,.364,1,5,.200,4,4,1.000,5,7,12,0,0,1,0,4,13,11.6,-4,PF,2024,15
John Collins,3,2023-10-28,26-035,UTA,0,PHX,-22,1,28.033333333333335,5,9,.556,1,3,.333,0,0,,5,5,10,3,0,0,1,3,11,11.6,-28,PF,2024,15
John Collins,4,2023-10-30,26-037,UTA,0,DEN,-8,1,34.016666666666666,7,16,.438,1,3,.333,0,3,.000,3,6,9,1,1,0,0,3,15,9.8,-5,PF,2024,15
Zach Collins,1,2023-10-25,25-340,SAS,1,DAL,-7,1,31.916666666666668,6,10,.600,0,4,.000,2,2,1.000,1,4,5,3,1,2,3,4,14,11.2,-4,C,2024,15
Zach Collins,2,2023-10-27,25-342,SAS,1,HOU,4,1,38.93333333333333,4,12,.333,0,7,.000,1,3,.333,0,6,6,8,4,0,4,5,9,6.8,-4,C,2024,15
Zach Collins,3,2023-10-29,25-344,SAS,0,LAC,-40,1,24.833333333333332,4,11,.364,1,4,.250,0,0,,1,5,6,4,0,0,5,2,9,2.1,-36,C,2024,15
Zach Collins,4,2023-10-31,25-346,SAS,0,PHX,1,1,27.45,6,11,.545,1,3,.333,1,1,1.000,1,4,5,4,1,3,2,3,14,13.3,+8,C,2024,15
Mike Conley,1,2023-10-25,36-014,MIN,0,TOR,-3,1,30.5,4,9,.444,1,4,.250,2,2,1.000,1,3,4,3,1,1,1,1,11,10.3,-6,PG,2024,15
Mike Conley,2,2023-10-28,36-017,MIN,1,MIA,16,1,28.866666666666667,6,10,.600,2,6,.333,0,0,,2,2,4,5,1,0,0,1,14,15.5,+21,PG,2024,15
Mike Conley,3,2023-10-30,36-019,MIN,0,ATL,-14,1,28.033333333333335,2,9,.222,2,6,.333,0,0,,1,1,2,3,0,0,0,3,6,2.4,-12,PG,2024,15
Pat Connaughton,1,2023-10-26,30-293,MIL,1,PHI,1,0,20.35,2,6,.333,1,4,.250,2,2,1.000,0,2,2,2,0,1,0,0,7,6.3,-5,SF,2024,15
Pat Connaughton,2,2023-10-29,30-296,MIL,1,ATL,-17,0,23.316666666666666,2,9,.222,1,6,.167,0,0,,1,2,3,2,2,0,1,1,5,2.8,-15,SF,2024,15
Pat Connaughton,3,2023-10-30,30-297,MIL,1,MIA,8,0,22.516666666666666,3,5,.600,2,3,.667,0,0,,0,5,5,2,0,1,1,2,8,7.5,+5,SF,2024,15
Bilal Coulibaly,1,2023-10-25,19-091,WAS,0,IND,-23,0,23.133333333333333,1,3,.333,1,1,1.000,0,0,,0,4,4,3,0,3,3,1,3,3.3,-13,SF,2024,15
