,player,team,line,stat,league,date,time
263,Qinwen Zheng,M. Sakkari (Zhengzhou),3.5,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
264,Mikko Rantanen,2023-2024 Season,44.5,Goals,236,2023-10-11,2023-10-10 15:57:00
265,Jalen Brunson,2023-2024 Season,24.4,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
266,Qinwen Zheng,M. Sakkari (Zhengzhou),5.5,Aces,5,2023-10-11,2023-10-10 15:57:00
267,Jalen Brunson,2023-2024 Season,6.1,Assists Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
268,Julius Randle,2023-2024 Season,0.5,Triple-Doubles,173,2023-10-25,2023-10-10 15:57:00
269,Kyle Connor,2023-2024 Season,36.5,Goals,236,2023-10-11,2023-10-10 15:57:00
270,Julius Randle,2023-2024 Season,14.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
271,Julius Randle,2023-2024 Season,0.5,50+ Point Games,173,2023-10-25,2023-10-10 15:57:00
272,Julius Randle,2023-2024 Season,24.3,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
273,Donna Vekic,L. Tsurenko (Zhengzhou),21.5,Total Games,5,2023-10-11,2023-10-10 15:57:00
274,Donna Vekic,L. Tsurenko (Zhengzhou),4.5,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
275,Julius Randle,2023-2024 Season,10.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
276,Donna Vekic,L. Tsurenko (Zhengzhou),2.5,Aces,5,2023-10-11,2023-10-10 15:57:00
277,Julius Randle,2023-2024 Season,10.0,Rebounds Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
278,Jordan Poole,Taipans,15.5,PTS,237,2023-10-10,2023-10-10 15:57:00
279,Kohaibi,Orangutan X (MAPS 1-2 Kills),37.0,MAPS 1-2 Kills,159,2023-10-11,2023-10-10 15:57:00
280,Travis Kelce,DEN,67.5,Receiving Yards,9,2023-10-12,2023-10-10 15:57:00
281,Elias Lindholm,2023-2024 Season,28.5,Goals,236,2023-10-11,2023-10-10 15:57:00
282,Paolo Banchero,2023-2024 Season,13.5,Double-Doubles,173,2023-10-25,2023-10-10 15:57:00
283,Kaidon Salter,JVS,53.5,Rush Yards,15,2023-10-10,2023-10-10 15:57:00
284,Kaidon Salter,JVS,287.5,Pass+Rush Yds,15,2023-10-10,2023-10-10 15:57:00
285,Paolo Banchero,2023-2024 Season,21.9,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
286,enerii,Orangutan X (MAPS 1-2 Kills),40.5,MAPS 1-2 Kills,159,2023-10-11,2023-10-10 15:57:00
287,Corey Seager,BAL,8.0,Hitter Fantasy Score,2,2023-10-10,2023-10-10 15:57:00
288,Courtland Sutton,KC,3.5,Receptions,9,2023-10-12,2023-10-10 15:57:00
289,Nathan Eovaldi,BAL 1st Inning,16.0,Pitches Thrown,231,2023-10-10,2023-10-10 15:57:00
290,Paolo Banchero,2023-2024 Season,8.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
291,Courtland Sutton,KC,45.5,Receiving Yards,9,2023-10-12,2023-10-10 15:57:00
292,Johnny Gaudreau,2023-2024 Season,28.5,Goals,236,2023-10-12,2023-10-10 15:57:00
293,Kaidon Salter,JVS,231.5,Pass Yards,15,2023-10-10,2023-10-10 15:57:00
294,Kyle Kuzma,Taipans,12.5,PTS,237,2023-10-10,2023-10-10 15:57:00
295,Artemi Panarin,2023-2024 Season,28.5,Goals,236,2023-10-12,2023-10-10 15:57:00
296,Adley Rutschman,TEX,6.0,Hitter Fantasy Score,2,2023-10-10,2023-10-10 15:57:00
297,Jerry Jeudy,KC,54.5,Receiving Yards,9,2023-10-12,2023-10-10 15:57:00
298,Jerry Jeudy,KC,4.5,Receptions,9,2023-10-12,2023-10-10 15:57:00
299,shirazi,Orangutan X (MAPS 1-2 Kills),33.5,MAPS 1-2 Kills,159,2023-10-11,2023-10-10 15:57:00
300,Dean Kremer,TEX 1st Inning,16.0,Pitches Thrown,231,2023-10-10,2023-10-10 15:57:00
301,Justin Watson,DEN,21.5,Receiving Yards,9,2023-10-12,2023-10-10 15:57:00
302,Alexy,Orangutan X (MAPS 1-2 Kills),36.5,MAPS 1-2 Kills,159,2023-10-11,2023-10-10 15:57:00
303,Tage Thompson,2023-2024 Season,43.5,Goals,236,2023-10-12,2023-10-10 15:57:00
304,Quinton Cooley,JVS,75.5,Rush Yards,15,2023-10-10,2023-10-10 15:57:00
305,Clint Capela,2023-2024 Season,11.1,Rebounds Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
306,Clint Capela,2023-2024 Season,0.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
307,Marcus Semien,BAL,6.5,Hitter Fantasy Score,2,2023-10-10,2023-10-10 15:57:00
308,Kristaps Porzingis,2023-2024 Season,5.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
309,Kadarius Toney,DEN,31.5,Receiving Yards,9,2023-10-12,2023-10-10 15:57:00
310,Mika Zibanejad,2023-2024 Season,35.5,Goals,236,2023-10-12,2023-10-10 15:57:00
311,Anthony Santander,TEX,6.5,Hitter Fantasy Score,2,2023-10-10,2023-10-10 15:57:00
312,Malik Jackson,LIB,87.5,Rush Yards,15,2023-10-10,2023-10-10 15:57:00
313,Alex DeBrincat,2023-2024 Season,35.5,Goals,236,2023-10-12,2023-10-10 15:57:00
314,Adolis Garcia,BAL,7.0,Hitter Fantasy Score,2,2023-10-10,2023-10-10 15:57:00
315,CJ Daniels,JVS,70.5,Receiving Yards,15,2023-10-10,2023-10-10 15:57:00
316,Marquez Valdes-Scantling,DEN,18.5,Receiving Yards,9,2023-10-12,2023-10-10 15:57:00
317,Jaylen Brown,2023-2024 Season,17.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
318,Marvin Mims Jr.,KC,17.5,Receiving Yards,9,2023-10-12,2023-10-10 15:57:00
319,Perry Carter,LIB,38.5,Receiving Yards,15,2023-10-10,2023-10-10 15:57:00
320,Gunnar Henderson,TEX,6.5,Hitter Fantasy Score,2,2023-10-10,2023-10-10 15:57:00
321,Jaylen Brown,2023-2024 Season,25.6,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
322,Chris Kreider,2023-2024 Season,35.5,Goals,236,2023-10-12,2023-10-10 15:57:00
323,Jaylen Brown,2023-2024 Season,3.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
324,Jayson Tatum,2023-2024 Season,29.6,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
325,Timo Meier,2023-2024 Season,37.5,Goals,236,2023-10-12,2023-10-10 15:57:00
326,Rashee Rice,DEN,28.5,Receiving Yards,9,2023-10-12,2023-10-10 15:57:00
327,Jayson Tatum,2023-2024 Season,0.5,Triple-Doubles,173,2023-10-25,2023-10-10 15:57:00
328,Jayson Tatum,2023-2024 Season,8.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
329,Jayson Tatum,2023-2024 Season,0.5,50+ Point Games,173,2023-10-25,2023-10-10 15:57:00
330,Treon Sibley,JVS,55.5,Receiving Yards,15,2023-10-10,2023-10-10 15:57:00
331,Dillon Brooks ,2023-2024 Season,1.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
332,Dillon Brooks ,2023-2024 Season,14.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
333,Skyy Moore,DEN,28.5,Receiving Yards,9,2023-10-12,2023-10-10 15:57:00
334,Jack Hughes,2023-2024 Season,42.5,Goals,236,2023-10-12,2023-10-10 15:57:00
335,RJ Barrett,2023-2024 Season,7.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
336,Quinton Lane,LIB,27.5,Receiving Yards,15,2023-10-10,2023-10-10 15:57:00
337,RJ Barrett,2023-2024 Season,19.7,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
338,Emily Ducote,Ashley Yoder,75.5,Significant Strikes,12,2023-10-14,2023-10-10 15:57:00
339,Aleksander Barkov,2023-2024 Season,28.5,Goals,236,2023-10-12,2023-10-10 15:57:00
340,Bam Adebayo,2023-2024 Season,6.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
341,Alperen Sengun,2023-2024 Season,0.5,Triple-Doubles,173,2023-10-25,2023-10-10 15:57:00
342,Ayumiii,FULL SENSE SAPPHIRE (MAPS 1-2 Kills),39.5,MAPS 1-2 Kills,159,2023-10-11,2023-10-10 15:57:00
343,Chris Gutierrez,Alateng Heili,63.5,Significant Strikes,12,2023-10-14,2023-10-10 15:57:00
344,Mitchell Robinson,2023-2024 Season,9.1,Rebounds Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
345,Kirill Kaprizov,2023-2024 Season,43.5,Goals,236,2023-10-12,2023-10-10 15:57:00
346,Wendell Carter Jr.	,2023-2024 Season,9.1,Rebounds Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
347,Melissa Dixon	,Irina Alekseeva,47.5,Significant Strikes,12,2023-10-14,2023-10-10 15:57:00
348,Donovan Mitchell,2023-2024 Season,2.5,Double-Doubles,173,2023-10-25,2023-10-10 15:57:00
349,Donovan Mitchell,2023-2024 Season,0.5,50+ Point Games,173,2023-10-25,2023-10-10 15:57:00
350,Alluka,FULL SENSE SAPPHIRE (MAPS 1-2 Kills),33.0,MAPS 1-2 Kills,159,2023-10-11,2023-10-10 15:57:00
351,Jason Robertson,2023-2024 Season,43.5,Goals,236,2023-10-12,2023-10-10 15:57:00
352,Donovan Mitchell,2023-2024 Season,28.0,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
353,Damarri Mathis,KC,5.0,Tackles+Ast,9,2023-10-12,2023-10-10 15:57:00
354,Darius Garland,2023-2024 Season,20.5,Double-Doubles,173,2023-10-25,2023-10-10 15:57:00
355,Justin Reid,DEN,4.5,Tackles+Ast,9,2023-10-12,2023-10-10 15:57:00
356,bes,FULL SENSE SAPPHIRE (MAPS 1-2 Kills),29.0,MAPS 1-2 Kills,159,2023-10-11,2023-10-10 15:57:00
357,Darius Garland,2023-2024 Season,7.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
358,Darius Garland,2023-2024 Season,21.9,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
359,Al Horford,2023-2024 Season,0.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
360,Darius Garland,2023-2024 Season,2.5,3PT Made Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
361,Sam Reinhart,2023-2024 Season,30.5,Goals,236,2023-10-12,2023-10-10 15:57:00
362,Darius Garland,2023-2024 Season,7.9,Assists Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
363,nabbsky,FULL SENSE SAPPHIRE (MAPS 1-2 Kills),28.0,MAPS 1-2 Kills,159,2023-10-11,2023-10-10 15:57:00
364,Josey Jewell,KC,7.5,Tackles+Ast,9,2023-10-12,2023-10-10 15:57:00
365,Evan Mobley,2023-2024 Season,9.4,Rebounds Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
366,Tainara Lisboa,Ravena Oliveira,1.5,Takedowns,12,2023-10-14,2023-10-10 15:57:00
367,Tainara Lisboa,Ravena Oliveira,10.5,Fight Time (Mins),12,2023-10-14,2023-10-10 15:57:00
368,Roope Hintz,2023-2024 Season,36.5,Goals,236,2023-10-12,2023-10-10 15:57:00
369,Tainara Lisboa,Ravena Oliveira,34.5,Significant Strikes,12,2023-10-14,2023-10-10 15:57:00
370,TJ Brown,Darren Elkins,2.0,Takedowns,12,2023-10-14,2023-10-10 15:57:00
371,babytz,Rex Regum Qeon Kaguya (MAPS 1-2 Kills),36.5,MAPS 1-2 Kills,159,2023-10-11,2023-10-10 15:57:00
372,Justin Simmons,KC,5.5,Tackles+Ast,9,2023-10-12,2023-10-10 15:57:00
373,TJ Brown,Darren Elkins,52.5,Significant Strikes,12,2023-10-14,2023-10-10 15:57:00
374,Alex Ovechkin,2023-2024 Season,40.5,Goals,236,2023-10-13,2023-10-10 15:57:00
375,TJ Brown,Darren Elkins,14.75,Fight Time (Mins),12,2023-10-14,2023-10-10 15:57:00
376,Jarrett Allen,2023-2024 Season,9.9,Rebounds Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
377,Bogdan Bogdanovic,2023-2024 Season,0.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
378,Muffyn,Rex Regum Qeon Kaguya (MAPS 1-2 Kills),36.0,MAPS 1-2 Kills,159,2023-10-11,2023-10-10 15:57:00
379,Patrick Surtain II,KC,3.5,Tackles+Ast,9,2023-10-12,2023-10-10 15:57:00
380,Christian Rodriguez,Cameron Saaiman,42.5,Significant Strikes,12,2023-10-14,2023-10-10 15:57:00
381,Christian Rodriguez,Cameron Saaiman,0.5,Takedowns,12,2023-10-14,2023-10-10 15:57:00
382,Kareem Jackson,KC,6.0,Tackles+Ast,9,2023-10-12,2023-10-10 15:57:00
383,Kevin love ,2023-2024 Season,2.5,Double-Doubles,173,2023-10-25,2023-10-10 15:57:00
384,Edgar Chairez	,Daniel Lacerda,5.0,Fight Time (Mins),12,2023-10-14,2023-10-10 15:57:00
385,Edgar Chairez	,Daniel Lacerda,24.5,Significant Strikes,12,2023-10-14,2023-10-10 15:57:00
386,poly,Rex Regum Qeon Kaguya (MAPS 1-2 Kills),29.5,MAPS 1-2 Kills,159,2023-10-11,2023-10-10 15:57:00
387,Kevin love ,2023-2024 Season,0.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
388,Michel Pereira,Andre Petroski,58.5,Significant Strikes,12,2023-10-14,2023-10-10 15:57:00
389,Michel Pereira,Andre Petroski,12.5,Fight Time (Mins),12,2023-10-14,2023-10-10 15:57:00
390,JinNy,Rex Regum Qeon Kaguya (MAPS 1-2 Kills),27.5,MAPS 1-2 Kills,159,2023-10-11,2023-10-10 15:57:00
391,Jonathan Martinez,Adrian Yanez,10.5,Fight Time (Mins),12,2023-10-14,2023-10-10 15:57:00
392,Jonathan Martinez,Adrian Yanez,52.5,Significant Strikes,12,2023-10-14,2023-10-10 15:57:00
393,Jennifer Maia,Viviane Araujo,80.5,Significant Strikes,12,2023-10-14,2023-10-10 15:57:00
394,Sodiq Yusuff,Edson Barboza,72.5,Significant Strikes,12,2023-10-14,2023-10-10 15:57:00
395,Sodiq Yusuff,Edson Barboza,13.5,Fight Time (Mins),12,2023-10-14,2023-10-10 15:57:00
396,LaMelo Ball,MIA,13.5,PTS,237,2023-10-10,2023-10-10 15:57:00
397,Bojan Bogdanovic,2023-2024 Season,19.7,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
398,Rest,DFM (MAPS 1-2 Kills),6.0,MAPS 1-2 Kills,121,2023-10-11,2023-10-10 15:57:00
399,Grayson McCall,APP,270.5,Pass Yards,15,2023-10-10,2023-10-10 15:57:00
400,Bojan Bogdanovic,2023-2024 Season,7.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
401,Joey Aguilar,CC,247.5,Pass Yards,15,2023-10-10,2023-10-10 15:57:00
402,Cade Cunningham,2023-2024 Season,21.4,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
403,Cade Cunningham,2023-2024 Season,8.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
404,P.J. Washington,MIA,9.5,PTS,237,2023-10-10,2023-10-10 15:57:00
405,Jimmy Butler,2023-2024 Season,3.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
406,Gemini,DFM (MAPS 1-2 Kills),4.0,MAPS 1-2 Kills,121,2023-10-11,2023-10-10 15:57:00
407,Jimmy Butler,2023-2024 Season,1.5,Triple-Doubles,173,2023-10-25,2023-10-10 15:57:00
408,Cade Cunningham,2023-2024 Season,6.2,Assists Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
409,JimieN,DFM (MAPS 1-2 Kills),7.5,MAPS 1-2 Kills,121,2023-10-11,2023-10-10 15:57:00
410,Nate Noel,CC,107.5,Rush Yards,15,2023-10-10,2023-10-10 15:57:00
411,Shunn,DFM (MAPS 1-2 Kills),12.0,MAPS 1-2 Kills,121,2023-10-11,2023-10-10 15:57:00
412,Terry Rozier,MIA,12.5,PTS,237,2023-10-10,2023-10-10 15:57:00
413,Braydon Bennett,APP,60.5,Rush Yards,15,2023-10-10,2023-10-10 15:57:00
414,Sam Pinckney,APP,84.5,Receiving Yards,15,2023-10-10,2023-10-10 15:57:00
415,Steal,CFO (MAPS 1-2 Kills),3.0,MAPS 1-2 Kills,121,2023-10-11,2023-10-10 15:57:00
416,Nic Claxton,2023-2024 Season,9.5,Rebounds Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
417,Kaedin Robinson,CC,59.5,Receiving Yards,15,2023-10-10,2023-10-10 15:57:00
418,Jared Brown,APP,60.5,Receiving Yards,15,2023-10-10,2023-10-10 15:57:00
419,Aria,CFO (MAPS 1-2 Kills),6.0,MAPS 1-2 Kills,121,2023-10-11,2023-10-10 15:57:00
420,Milan,CFO (MAPS 1-2 Kills),6.0,MAPS 1-2 Kills,121,2023-10-11,2023-10-10 15:57:00
421,Christan Horn,CC,38.5,Receiving Yards,15,2023-10-10,2023-10-10 15:57:00
422,Adam,TW (MAPS 1-2 Kills),7.0,MAPS 1-2 Kills,121,2023-10-11,2023-10-10 15:57:00
423,Lamar Jackson,TEN,42.5,Rush Yards,9,2023-10-15,2023-10-10 15:57:00
424,Lamar Jackson,TEN,221.5,Pass Yards,9,2023-10-15,2023-10-10 15:57:00
425,Lamar Jackson,TEN,0.5,INT,9,2023-10-15,2023-10-10 15:57:00
426,Ryan Tannehill,BAL,0.5,INT,9,2023-10-15,2023-10-10 15:57:00
427,Ryan Tannehill,BAL,210.5,Pass Yards,9,2023-10-15,2023-10-10 15:57:00
428,Karl-Anthony Towns,2023-2024 Season,22.0,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
429,Ryan Tannehill,BAL,8.5,Rush Yards,9,2023-10-15,2023-10-10 15:57:00
430,Karl-Anthony Towns,2023-2024 Season,9.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
431,Sheo,TW (MAPS 1-2 Kills),5.0,MAPS 1-2 Kills,121,2023-10-11,2023-10-10 15:57:00
432,Kyle Anderson ,2023-2024 Season,0.5,Triple-Doubles,173,2023-10-25,2023-10-10 15:57:00
433,Rudy Gobert,2023-2024 Season,11.6,Rebounds Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
434,Anthony Edwards,2023-2024 Season,7.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
435,Anthony Edwards,2023-2024 Season,20.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
436,nuc,TW (MAPS 1-2 Kills),10.0,MAPS 1-2 Kills,121,2023-10-11,2023-10-10 15:57:00
437,Anthony Edwards,2023-2024 Season,0.5,50+ Point Games,173,2023-10-25,2023-10-10 15:57:00
438,Anthony Edwards,2023-2024 Season,26.0,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
439,Justin Tucker,TEN,1.5,FG Made,9,2023-10-15,2023-10-10 15:57:00
440,Justin Tucker,TEN,6.5,Kicking Points,9,2023-10-15,2023-10-10 15:57:00
441,Anthony Edwards,2023-2024 Season,2.9,3PT Made Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
442,Derrick Henry,BAL,9.5,Receiving Yards,9,2023-10-15,2023-10-10 15:57:00
443,Bam Adebayo,2023-2024 Season,9.3,Rebounds Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
444,Derrick Henry,BAL,63.5,Rush Yards,9,2023-10-15,2023-10-10 15:57:00
445,Derrick Henry,BAL,0.5,Pass+Rush+Rec TDs,9,2023-10-15,2023-10-10 15:57:00
446,Crownie,TW (MAPS 1-2 Kills),11.0,MAPS 1-2 Kills,121,2023-10-11,2023-10-10 15:57:00
447,Sparda,BDS (MAPS 1-2 Kills),3.0,MAPS 1-2 Kills,121,2023-10-11,2023-10-10 15:57:00
448,Pascal Siakam,2023-2024 Season,15.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
449,BeanJ,BDS (MAPS 1-2 Kills),3.0,MAPS 1-2 Kills,121,2023-10-11,2023-10-10 15:57:00
450,Pascal Siakam,2023-2024 Season,1.5,Triple-Doubles,173,2023-10-25,2023-10-10 15:57:00
451,Tyjae Spears,BAL,27.5,Rush Yards,9,2023-10-15,2023-10-10 15:57:00
452,Glory,BDS (MAPS 1-2 Kills),4.0,MAPS 1-2 Kills,121,2023-10-11,2023-10-10 15:57:00
453,Tyjae Spears,BAL,14.5,Receiving Yards,9,2023-10-15,2023-10-10 15:57:00
454,Artemis,BDS (MAPS 1-2 Kills),5.0,MAPS 1-2 Kills,121,2023-10-11,2023-10-10 15:57:00
455,Robo,PSG (MAPS 1-2 Kills),4.0,MAPS 1-2 Kills,121,2023-10-12,2023-10-10 15:57:00
456,Croc,PSG (MAPS 1-2 Kills),3.0,MAPS 1-2 Kills,121,2023-10-12,2023-10-10 15:57:00
457,tinowns,PSG (MAPS 1-2 Kills),5.0,MAPS 1-2 Kills,121,2023-10-12,2023-10-10 15:57:00
458,Donovan Mitchell,ATL,14.5,PTS,237,2023-10-10,2023-10-10 15:57:00
459,Shai Gilgeous-Alexander,2023-2024 Season,30.6,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
460,Route,PSG (MAPS 1-2 Kills),7.0,MAPS 1-2 Kills,121,2023-10-12,2023-10-10 15:57:00
461,Shai Gilgeous-Alexander,2023-2024 Season,0.5,50+ Point Games,173,2023-10-25,2023-10-10 15:57:00
462,Zay Flowers,TEN,58.5,Receiving Yards,9,2023-10-15,2023-10-10 15:57:00
463,Shai Gilgeous-Alexander,2023-2024 Season,4.5,Double-Doubles,173,2023-10-25,2023-10-10 15:57:00
464,Trae Young,CLE,14.5,PTS,237,2023-10-10,2023-10-10 15:57:00
465,DeMar DeRozan,2023-2024 Season,9.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
466,DeMar DeRozan,2023-2024 Season,14.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
467,DeMar DeRozan,2023-2024 Season,23.8,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
468,Darius Garland,ATL,12.0,PTS,237,2023-10-10,2023-10-10 15:57:00
469,Azhi,LLL (MAPS 1-2 Kills),5.0,MAPS 1-2 Kills,121,2023-10-12,2023-10-10 15:57:00
470,DeAndre Hopkins,BAL,58.5,Receiving Yards,9,2023-10-15,2023-10-10 15:57:00
471,JunJia,LLL (MAPS 1-2 Kills),5.5,MAPS 1-2 Kills,121,2023-10-12,2023-10-10 15:57:00
472,Dejounte Murray,CLE,12.5,PTS,237,2023-10-10,2023-10-10 15:57:00
473,Mark Andrews,TEN,53.5,Receiving Yards,9,2023-10-15,2023-10-10 15:57:00
474,Chet Holmgren ,2023-2024 Season,13.2,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
475,Zach Lavine,2023-2024 Season,16.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
476,Evan Mobley,ATL,9.5,PTS,237,2023-10-10,2023-10-10 15:57:00
477,Zach Lavine,2023-2024 Season,25.1,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
478,Zach Lavine,2023-2024 Season,2.7,3PT Made Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
479,Maple,LLL (MAPS 1-2 Kills),9.0,MAPS 1-2 Kills,121,2023-10-12,2023-10-10 15:57:00
480,Josh Giddey,2023-2024 Season,3.5,Triple-Doubles,173,2023-10-25,2023-10-10 15:57:00
481,Wako,LLL (MAPS 1-2 Kills),10.0,MAPS 1-2 Kills,121,2023-10-12,2023-10-10 15:57:00
482,Alex Caruso,2023-2024 Season,1.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
483,De'Andre Hunter,CLE,11.5,PTS,237,2023-10-10,2023-10-10 15:57:00
484,Josh Giddey,2023-2024 Season,0.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
485,Josh Giddey,2023-2024 Season,1.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
486,Alex Caruso,2023-2024 Season,0.5,Double-Doubles,173,2023-10-25,2023-10-10 15:57:00
487,Josh Giddey,2023-2024 Season,6.5,Assists Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
488,Nikola Vucevic,2023-2024 Season,0.5,Triple-Doubles,173,2023-10-25,2023-10-10 15:57:00
489,Nikola Vucevic,2023-2024 Season,3.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
490,Nikola Vucevic,2023-2024 Season,10.9,Rebounds Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
491,Chigoziem Okonkwo,BAL,32.5,Receiving Yards,9,2023-10-15,2023-10-10 15:57:00
492,Roger McCreary,BAL,4.5,Tackles+Ast,9,2023-10-15,2023-10-10 15:57:00
493,Bong,GAM (MAPS 1-2 Kills),4.5,MAPS 1-2 Kills,121,2023-10-13,2023-10-10 15:57:00
494,Oddie,GAM (MAPS 1-2 Kills),3.5,MAPS 1-2 Kills,121,2023-10-13,2023-10-10 15:57:00
495,Mireu,GAM (MAPS 1-2 Kills),7.0,MAPS 1-2 Kills,121,2023-10-13,2023-10-10 15:57:00
496,Ceo,GAM (MAPS 1-2 Kills),8.0,MAPS 1-2 Kills,121,2023-10-13,2023-10-10 15:57:00
497,Azeez Al-Shaair,BAL,8.5,Tackles+Ast,9,2023-10-15,2023-10-10 15:57:00
498,Patrick Queen,TEN,7.0,Tackles+Ast,9,2023-10-15,2023-10-10 15:57:00
499,Kiaya,R7 (MAPS 1-2 Kills),5.5,MAPS 1-2 Kills,121,2023-10-13,2023-10-10 15:57:00
500,Levi,R7 (MAPS 1-2 Kills),5.5,MAPS 1-2 Kills,121,2023-10-13,2023-10-10 15:57:00
501,De'Aaron Fox,2023-2024 Season,8.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
502,De'Aaron Fox,2023-2024 Season,25.2,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
503,De'Aaron Fox,2023-2024 Season,18.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
504,Cristian Javier,MIN 4th Inning,0.5,Hits Allowed,231,2023-10-10,2023-10-10 15:57:00
505,De'Aaron Fox,2023-2024 Season,6.1,Assists Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
506,Kati,R7 (MAPS 1-2 Kills),7.0,MAPS 1-2 Kills,121,2023-10-13,2023-10-10 15:57:00
507,De'Aaron Fox,2023-2024 Season,8.5,Double-Doubles,173,2023-10-25,2023-10-10 15:57:00
508,Domantas Sabonis,2023-2024 Season,12.1,Rebounds Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
509,Domantas Sabonis,2023-2024 Season,11.5,Triple-Doubles,173,2023-10-25,2023-10-10 15:57:00
510,Domantas Sabonis,2023-2024 Season,19.3,Points Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
511,Domantas Sabonis,2023-2024 Season,5.5,30+ Point Games,173,2023-10-25,2023-10-10 15:57:00
512,Sonny Gray,HOU 4th Inning,0.5,Hits Allowed,231,2023-10-10,2023-10-10 15:57:00
513,Domantas Sabonis,2023-2024 Season,6.9,Assists Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
514,Slayder,R7 (MAPS 1-2 Kills),10.0,MAPS 1-2 Kills,121,2023-10-13,2023-10-10 15:57:00
515,Steven Adams,2023-2024 Season,10.9,Rebounds Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
516,Marcus Smart,2023-2024 Season,6.5,Technical Fouls,173,2023-10-25,2023-10-10 15:57:00
517,Jonas Valanciunas,2023-2024 Season,10.3,Rebounds Per Game AVG,173,2023-10-25,2023-10-10 15:57:00
