,player,team,line,stat,league,date,event_time,time,prop_id
153,Leody Taveras,ARI,1.5,Hits+Runs+RBIS,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,c1c49c72-1
154,Caio Borralho,Abus Magomedov,2.0,Takedowns,12,2023-11-04 21:40:00-05:00,2023-11-04 21:40:00-05:00,2023-10-31 12:21:00,6b0c1d7c-0
155,Drew Doughty,TOR,0.5,PTS,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,c016084f-9
156,Aiming + Ruler,JDG/KT (MAPS 1-3 Kills (Combo)),23.0,MAPS 1-3 Kills (Combo),121,2023-11-04 03:00:00-05:00,2023-11-04 03:00:00-05:00,2023-10-31 12:21:00,dc247846-b
157,Caio Borralho,Abus Magomedov,11.5,Fight Time (Mins),12,2023-11-04 21:40:00-05:00,2023-11-04 21:40:00-05:00,2023-10-31 12:21:00,75d8510f-2
158,Tamir Blatt,AX Armani Exchange Milan,7.0,PTS,151,2023-10-31 14:30:00-05:00,2023-10-31 14:30:00-05:00,2023-10-31 12:21:00,6cd0d702-f
159,Charles Sagoe,West Ham,0.5,Shots On Target,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,3df47cc3-2
160,Paul George + Paolo Banchero,ORL/LAC,11.5,Rebounds (Combo),7,2023-10-31 21:30:00-05:00,2023-10-31 21:30:00-05:00,2023-10-31 12:21:00,5102b189-b
161,Auston Matthews,LA,4.0,Shots On Goal,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,0d33d1c6-f
162,Morgan Rielly,LA,0.5,PTS,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,9ef19c8b-d
163,Kevin Fiala,TOR,0.5,AST,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,e6269190-7
164,Nathaniel Lowe,ARI,1.5,Hits+Runs+RBIS,2,2023-10-31 19:03:00-05:00,2023-10-31 19:03:00-05:00,2023-10-31 12:21:00,03699197-7
165,Rodrigo Nascimento,Don'Tale Mayes,2.0,Takedowns,12,2023-11-04 22:10:00-05:00,2023-11-04 22:10:00-05:00,2023-10-31 12:21:00,77d1dbb9-e
166,Rodrigo Nascimento,Don'Tale Mayes,10.5,Fight Time (Mins),12,2023-11-04 22:10:00-05:00,2023-11-04 22:10:00-05:00,2023-10-31 12:21:00,0836aa9b-8
167,Rodrigo Nascimento,Don'Tale Mayes,41.5,Significant Strikes,12,2023-11-04 22:10:00-05:00,2023-11-04 22:10:00-05:00,2023-10-31 12:21:00,749e69fb-9
168,Bukayo Saka,West Ham,2.0,Shots,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,17b63b8f-9
169,Lucas Paqueta,Arsenal,1.5,Shots,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,a6e6965a-8
170,Lukasz Fabianski,Arsenal,3.5,Goalie Saves,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,943326e4-7
171,Aaron Ramsdale,West Ham,2.5,Goalie Saves,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,2ff2e362-b
172,Eddie Nketiah,West Ham,2.5,Shots,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,62b9fee6-0
173,Danny Ings,Arsenal,1.5,Shots,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,971589c1-5
174,Said Benrahma,Arsenal,1.5,Shots,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,81412fe0-c
175,Jarrod Bowen,Arsenal,2.0,Shots,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,1e482513-c
176,Michail Antonio,Arsenal,1.5,Shots,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,705f22fd-a
177,Boukada,GO (MAPS 1-3 Kills),6.0,MAPS 1-3 Kills,121,2023-11-01 05:30:00-05:00,2023-11-01 05:30:00-05:00,2023-10-31 12:21:00,161f9a74-9
178,Bdd + Scout,JDG/T1 (MAPS 1-3 Kills (Combo)),19.0,MAPS 1-3 Kills (Combo),121,2023-11-04 03:00:00-05:00,2023-11-04 03:00:00-05:00,2023-10-31 12:21:00,a2601007-e
179,Jarrod Bowen,Arsenal,0.5,Shots On Target,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,4b81aa6e-4
180,Jorginho,West Ham,0.5,Shots,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,a668e37c-b
181,Reiss Nelson,West Ham,0.5,Shots On Target,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,13daee46-3
182,Bukayo Saka,West Ham,0.5,Shots On Target,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,3abaa1d1-0
183,Reiss Nelson,West Ham,1.5,Shots,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,be0d8d57-2
184,Emile Smith Rowe,West Ham,0.5,Shots On Target,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,7b75970a-2
185,Jorginho,West Ham,84.5,Passes Attempted,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,c9f83285-1
186,Martin Odegaard,West Ham,2.5,Shots,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,9a4fe0c2-1
187,Gabriel Martinelli,West Ham,2.0,Shots,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,61a19647-6
188,Emile Smith Rowe,West Ham,1.5,Shots,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,a28314e9-c
189,Kai Havertz,West Ham,1.5,Shots,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,242fd875-c
190,Danny Ings,Arsenal,0.5,Shots On Target,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,38a9d2ae-b
191,Leandro Trossard,West Ham,2.0,Shots,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,114ba777-1
192,Thilo Kehrer,Arsenal,1.5,Tackles,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,2ac371ff-b
193,Takehiro Tomiyasu,West Ham,2.0,Tackles,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,ac80ad7d-d
194,Kai Havertz,West Ham,0.5,Shots On Target,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,58b90492-d
195,Gabriel Martinelli,West Ham,0.5,Shots On Target,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,dad1139e-b
196,Pierre-Luc Dubois + Arthur Kaliyev,TOR,4.5,Shots On Goal (Combo),8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,bcba8b28-5
197,Charles Sagoe,West Ham,1.5,Shots,82,2023-11-01 14:30:00-05:00,2023-11-01 14:30:00-05:00,2023-10-31 12:21:00,e01b064b-f
198,Morgan Rielly,LA,0.5,AST,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,790ea5c6-b
199,Mohamed Salah,Bournemouth,3.5,Shots,82,2023-11-01 14:45:00-05:00,2023-11-01 14:45:00-05:00,2023-10-31 12:21:00,d37fe62b-4
200,Illia Zabarnyi,Liverpool,4.0,Clearances,82,2023-11-01 14:45:00-05:00,2023-11-01 14:45:00-05:00,2023-10-31 12:21:00,d2bf51e4-5
201,Dango Ouattara,Liverpool,17.5,Passes Attempted,82,2023-11-01 14:45:00-05:00,2023-11-01 14:45:00-05:00,2023-10-31 12:21:00,ab54f180-f
202,Derrick Henry,PIT,74.5,Rush Yards,9,2023-11-02 19:15:00-05:00,2023-11-02 19:15:00-05:00,2023-10-31 12:21:00,b9a25d0e-9
203,Kawhi Leonard + Markelle Fultz,ORL/LAC,9.5,Assists (Combo),7,2023-10-31 21:30:00-05:00,2023-10-31 21:30:00-05:00,2023-10-31 12:21:00,c2678952-1
204,GALA + Gumayusi,T1/LNG (MAPS 1-3 Kills (Combo)),22.0,MAPS 1-3 Kills (Combo),121,2023-11-05 02:00:00-06:00,2023-11-05 02:00:00-06:00,2023-10-31 12:21:00,fc87d2f5-2
205,Gabriel Bonfim	,Nicolas Dalby,6.0,Fight Time (Mins),12,2023-11-04 22:40:00-05:00,2023-11-04 22:40:00-05:00,2023-10-31 12:21:00,e0636124-2
206,Anze Kopitar,TOR,2.0,Shots On Goal,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,7d55b167-1
207,Dominic Solanke,Liverpool,2.0,Shots,82,2023-11-01 14:45:00-05:00,2023-11-01 14:45:00-05:00,2023-10-31 12:21:00,249647a3-c
208,Cody Gakpo,Bournemouth,2.0,Shots,82,2023-11-01 14:45:00-05:00,2023-11-01 14:45:00-05:00,2023-10-31 12:21:00,6c686770-7
209,Furuy,GO (MAPS 1-3 Kills),9.0,MAPS 1-3 Kills,121,2023-11-01 05:30:00-05:00,2023-11-01 05:30:00-05:00,2023-10-31 12:21:00,7412251b-b
210,Curtis Jones,Bournemouth,2.5,Tackles,82,2023-11-01 14:45:00-05:00,2023-11-01 14:45:00-05:00,2023-10-31 12:21:00,92f8d9ad-b
211,Antoine Semenyo,Liverpool,1.5,Shots,82,2023-11-01 14:45:00-05:00,2023-11-01 14:45:00-05:00,2023-10-31 12:21:00,7d6fe13e-9
212,Mitch Marner + Tyler Bertuzzi,LA,4.5,Shots On Goal (Combo),8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,03aae025-3
213,Jarell Quansah,Bournemouth,77.5,Passes Attempted,82,2023-11-01 14:45:00-05:00,2023-11-01 14:45:00-05:00,2023-10-31 12:21:00,02e144c3-7
214,Caoimhin Kelleher,Bournemouth,2.5,Goalie Saves,82,2023-11-01 14:45:00-05:00,2023-11-01 14:45:00-05:00,2023-10-31 12:21:00,28f4a1e3-b
215,Andrei Radu,Liverpool,3.5,Goalie Saves,82,2023-11-01 14:45:00-05:00,2023-11-01 14:45:00-05:00,2023-10-31 12:21:00,c8d53e33-3
216,Harvey Elliott,Bournemouth,1.5,Shots,82,2023-11-01 14:45:00-05:00,2023-11-01 14:45:00-05:00,2023-10-31 12:21:00,cee2f5d3-3
217,Gabriel Bonfim	,Nicolas Dalby,25.5,Significant Strikes,12,2023-11-04 22:40:00-05:00,2023-11-04 22:40:00-05:00,2023-10-31 12:21:00,31cacd14-c
218,Darwin Nunez,Bournemouth,1.5,Shots On Target,82,2023-11-01 14:45:00-05:00,2023-11-01 14:45:00-05:00,2023-10-31 12:21:00,39576b8e-f
219,Mohamed Salah,Bournemouth,1.5,Shots On Target,82,2023-11-01 14:45:00-05:00,2023-11-01 14:45:00-05:00,2023-10-31 12:21:00,bcd49038-6
220,Darwin Nunez,Bournemouth,3.5,Shots,82,2023-11-01 14:45:00-05:00,2023-11-01 14:45:00-05:00,2023-10-31 12:21:00,2ce86cef-6
221,Sean Longstaff,Man Utd,1.5,Tackles,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,0cdbfa89-3
222,Anthony Gordon,Man Utd,1.5,Shots,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,f75e660a-f
223,Dan Burn,Man Utd,1.5,Tackles,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,e9ea3d51-f
224,Miguel Almiron,Man Utd,2.0,Shots,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,43b0df14-a
225,Filip Forsberg + Elias Pettersson,VAN/NSH,6.5,Shots On Goal (Combo),8,2023-10-31 21:00:00-05:00,2023-10-31 21:00:00-05:00,2023-10-31 12:21:00,dd55ddf1-6
226,Jailton Almeida,Derrick Lewis,4.0,Fight Time (Mins),12,2023-11-04 22:59:00-05:00,2023-11-04 22:59:00-05:00,2023-10-31 12:21:00,70a1473f-f
227,John Tavares,LA,3.0,Shots On Goal,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,9b792e7c-1
228,matiaslaclasse,GO (MAPS 1-3 Kills),12.0,MAPS 1-3 Kills,121,2023-11-01 05:30:00-05:00,2023-11-01 05:30:00-05:00,2023-10-31 12:21:00,94731b37-9
229,Diogo Dalot,Newcastle,0.5,Shots,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,81f00446-f
230,Dan Burn,Man Utd,43.5,Passes Attempted,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,7f0dfa9c-a
231,Andre Onana,Newcastle,3.0,Goalie Saves,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,a74721f5-2
232,Anthony Martial,Newcastle,0.5,Shots On Target,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,05611149-8
233,Nick Pope,Man Utd,3.0,Goalie Saves,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,5c2cf718-5
234,Scott McTominay,Newcastle,27.5,Passes Attempted,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,a843536d-c
235,Callum Wilson,Man Utd,2.5,Shots,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,c44323fe-5
236,Marcus Rashford,Newcastle,3.0,Shots,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,f4cf90ff-4
237,Casemiro,Newcastle,1.5,Fouls,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,9ba4f802-7
238,Najee Harris,TEN,8.5,Receiving Yards,9,2023-11-02 19:15:00-05:00,2023-11-02 19:15:00-05:00,2023-10-31 12:21:00,e2beda28-7
239,Pierre-Luc Dubois,TOR,0.5,PTS,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,37a42e19-6
240,Bruno Guimaraes,Man Utd,2.0,Tackles,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,4cec27fa-1
241,Bruno Fernandes,Newcastle,1.5,Tackles,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,c876bc87-e
242,Rasmus Hojlund,Newcastle,2.0,Shots,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,60b23c1f-b
243,Antony,Newcastle,2.0,Shots,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,79c72abd-0
244,Harry Maguire,Newcastle,1.5,Fouls,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,15d30f25-c
245,Bruno Fernandes,Newcastle,2.0,Shots,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,2f8b44e3-3
246,William Nylander,LA,0.5,AST,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,e802ef5d-0
247,Anthony Martial,Newcastle,1.5,Shots,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,dda9254d-4
248,Kawhi Leonard + Franz Wagner,ORL/LAC,4.5,3-PT Made (Combo),7,2023-10-31 21:30:00-05:00,2023-10-31 21:30:00-05:00,2023-10-31 12:21:00,3fc74769-e
249,Najee Harris,TEN,46.5,Rush Yards,9,2023-11-02 19:15:00-05:00,2023-11-02 19:15:00-05:00,2023-10-31 12:21:00,8cc71f36-b
250,Bruno Guimaraes,Man Utd,1.5,Fouls,82,2023-11-01 15:15:00-05:00,2023-11-01 15:15:00-05:00,2023-10-31 12:21:00,c4ddeeff-d
251,Jailton Almeida,Derrick Lewis,15.5,Significant Strikes,12,2023-11-04 22:59:00-05:00,2023-11-04 22:59:00-05:00,2023-10-31 12:21:00,007cd6ec-c
252,Arthur Kaliyev,TOR,2.0,Shots On Goal,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,1eafb0fa-4
253,Roman Josi + Ryan O'Reilly,VAN,5.5,Shots On Goal (Combo),8,2023-10-31 21:00:00-05:00,2023-10-31 21:00:00-05:00,2023-10-31 12:21:00,535d4156-5
254,Tyler Bertuzzi,LA,0.5,PTS,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,833b4a6c-f
255,Ragner,TDS (MAPS 1-3 Kills),9.5,MAPS 1-3 Kills,121,2023-11-01 05:30:00-05:00,2023-11-01 05:30:00-05:00,2023-10-31 12:21:00,f7489bee-d
256,Paul George + Franz Wagner,ORL/LAC,5.0,3-PT Made (Combo),7,2023-10-31 21:30:00-05:00,2023-10-31 21:30:00-05:00,2023-10-31 12:21:00,aea140b1-0
257,Lyncas,TDS (MAPS 1-3 Kills),9.5,MAPS 1-3 Kills,121,2023-11-01 05:30:00-05:00,2023-11-01 05:30:00-05:00,2023-10-31 12:21:00,bc5b0f8c-6
258,Jaylen Warren,TEN,18.5,Receiving Yards,9,2023-11-02 19:15:00-05:00,2023-11-02 19:15:00-05:00,2023-10-31 12:21:00,f54821f6-4
259,Mitch Marner,LA,2.5,Shots On Goal,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,2452c00d-a
260,Jaylen Warren,TEN,24.5,Rush Yards,9,2023-11-02 19:15:00-05:00,2023-11-02 19:15:00-05:00,2023-10-31 12:21:00,162642c4-3
261,J.T. Miller + Andrei Kuzmenko,NSH,4.5,Shots On Goal (Combo),8,2023-10-31 21:00:00-05:00,2023-10-31 21:00:00-05:00,2023-10-31 12:21:00,aff19d96-9
262,toucouille,TDS (MAPS 1-3 Kills),14.0,MAPS 1-3 Kills,121,2023-11-01 05:30:00-05:00,2023-11-01 05:30:00-05:00,2023-10-31 12:21:00,114173b0-a
263,Kevin Fiala,TOR,2.5,Shots On Goal,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,73101166-3
264,Morgan Rielly,LA,2.0,Shots On Goal,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,29516cbc-e
265,Alexander Bublik,N. Jarry (Paris),24.5,Total Games,5,2023-10-31 13:00:00-05:00,2023-10-31 13:00:00-05:00,2023-10-31 12:21:00,07025653-0
266,Alexander Bublik,N. Jarry (Paris),11.5,Aces,5,2023-10-31 13:00:00-05:00,2023-10-31 13:00:00-05:00,2023-10-31 12:21:00,ef07d03d-8
267,Jezu,TDS (MAPS 1-3 Kills),17.0,MAPS 1-3 Kills,121,2023-11-01 05:30:00-05:00,2023-11-01 05:30:00-05:00,2023-10-31 12:21:00,f906ed00-2
268,Alexander Bublik,N. Jarry (Paris),1.5,Break Points Won,5,2023-10-31 13:00:00-05:00,2023-10-31 13:00:00-05:00,2023-10-31 12:21:00,6ccd2105-7
269,Carlos Alcaraz,R. Safiullin (Paris),20.0,Total Games,5,2023-10-31 13:30:00-05:00,2023-10-31 13:30:00-05:00,2023-10-31 12:21:00,06a59ce1-a
270,Phillip Danault,TOR,2.0,Shots On Goal,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,25ec3a1a-a
271,Carlos Alcaraz,R. Safiullin (Paris),5.0,Aces,5,2023-10-31 13:30:00-05:00,2023-10-31 13:30:00-05:00,2023-10-31 12:21:00,f198e5a6-c
272,Carlos Alcaraz,R. Safiullin (Paris),3.0,Break Points Won,5,2023-10-31 13:30:00-05:00,2023-10-31 13:30:00-05:00,2023-10-31 12:21:00,77d7238b-9
273,Andrey Rublev,Y. Nishioka (Paris),20.5,Total Games,5,2023-10-31 15:00:00-05:00,2023-10-31 15:00:00-05:00,2023-10-31 12:21:00,6d3f61a2-9
274,Andrey Rublev,Y. Nishioka (Paris),3.0,Break Points Won,5,2023-10-31 15:00:00-05:00,2023-10-31 15:00:00-05:00,2023-10-31 12:21:00,6acda91c-8
275,Noah Gregor,LA,2.0,Shots On Goal,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,6388367d-c
276,Andrey Rublev,Y. Nishioka (Paris),9.0,Aces,5,2023-10-31 15:00:00-05:00,2023-10-31 15:00:00-05:00,2023-10-31 12:21:00,c09db7a1-1
277,Pierre-Luc Dubois,TOR,2.5,Shots On Goal,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,752ec6f1-c
278,Diontae Johnson,TEN,57.5,Receiving Yards,9,2023-11-02 19:15:00-05:00,2023-11-02 19:15:00-05:00,2023-10-31 12:21:00,c7479336-a
279,Alex Highsmith,TEN,0.25,Sacks,9,2023-11-02 19:15:00-05:00,2023-11-02 19:15:00-05:00,2023-10-31 12:21:00,f7ed1e2a-4
280,DeQuan Finn,BUF,202.5,Pass Yards,15,2023-10-31 18:30:00-05:00,2023-10-31 18:30:00-05:00,2023-10-31 12:21:00,a3dc29cb-3
281,DeAndre Hopkins,PIT,50.5,Receiving Yards,9,2023-11-02 19:15:00-05:00,2023-11-02 19:15:00-05:00,2023-10-31 12:21:00,df6069ec-b
282,DeQuan Finn,BUF,46.5,Rush Yards,15,2023-10-31 18:30:00-05:00,2023-10-31 18:30:00-05:00,2023-10-31 12:21:00,f0ac65fd-4
283,Trevor Moore,TOR,2.5,Shots On Goal,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,2373e702-0
284,Jeffery Simmons,PIT,0.25,Sacks,9,2023-11-02 19:15:00-05:00,2023-11-02 19:15:00-05:00,2023-10-31 12:21:00,9bc42c69-8
285,Cole Snyder,TOL,192.5,Pass Yards,15,2023-10-31 18:30:00-05:00,2023-10-31 18:30:00-05:00,2023-10-31 12:21:00,3d6e04d7-b
286,George Pickens,TEN,50.5,Receiving Yards,9,2023-11-02 19:15:00-05:00,2023-11-02 19:15:00-05:00,2023-10-31 12:21:00,da554d47-2
287,William Nylander,LA,3.5,Shots On Goal,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,5cb12ede-3
288,Peny Boone,BUF,112.5,Rush Yards,15,2023-10-31 18:30:00-05:00,2023-10-31 18:30:00-05:00,2023-10-31 12:21:00,0e8d1018-4
289,Tyler Bertuzzi,LA,2.0,Shots On Goal,8,2023-10-31 19:00:00-05:00,2023-10-31 19:00:00-05:00,2023-10-31 12:21:00,a8ed7a30-8
290,Ron Cook,TOL,44.5,Rush Yards,15,2023-10-31 18:30:00-05:00,2023-10-31 18:30:00-05:00,2023-10-31 12:21:00,220fbbac-1
291,Nick Westbrook-Ikhine,PIT,17.5,Receiving Yards,9,2023-11-02 19:15:00-05:00,2023-11-02 19:15:00-05:00,2023-10-31 12:21:00,16344181-7
292,Dhokla,WBG (MAPS 1-3 Kills),5.0,MAPS 1-3 Kills,121,2023-11-02 03:00:00-05:00,2023-11-02 03:00:00-05:00,2023-10-31 12:21:00,f8ebb245-2
293,Jerjuan Newton,BUF,45.5,Receiving Yards,15,2023-10-31 18:30:00-05:00,2023-10-31 18:30:00-05:00,2023-10-31 12:21:00,748e40f4-1
294,Contractz,WBG (MAPS 1-3 Kills),4.5,MAPS 1-3 Kills,121,2023-11-02 03:00:00-05:00,2023-11-02 03:00:00-05:00,2023-10-31 12:21:00,29770294-1
295,Marlyn Johnson,TOL,35.5,Receiving Yards,15,2023-10-31 18:30:00-05:00,2023-10-31 18:30:00-05:00,2023-10-31 12:21:00,e646566c-2
296,Cole Harrity,TOL,37.5,Receiving Yards,15,2023-10-31 18:30:00-05:00,2023-10-31 18:30:00-05:00,2023-10-31 12:21:00,e612e9a8-8
297,Palafox,WBG (MAPS 1-3 Kills),6.5,MAPS 1-3 Kills,121,2023-11-02 03:00:00-05:00,2023-11-02 03:00:00-05:00,2023-10-31 12:21:00,c07106d9-c
298,Junior Vandeross,BUF,45.5,Receiving Yards,15,2023-10-31 18:30:00-05:00,2023-10-31 18:30:00-05:00,2023-10-31 12:21:00,c1c59647-d
299,Treylon Burks,PIT,25.5,Receiving Yards,9,2023-11-02 19:15:00-05:00,2023-11-02 19:15:00-05:00,2023-10-31 12:21:00,4202a190-9
300,FBI,WBG (MAPS 1-3 Kills),9.0,MAPS 1-3 Kills,121,2023-11-02 03:00:00-05:00,2023-11-02 03:00:00-05:00,2023-10-31 12:21:00,c696ba23-a
301,IgNar,WBG (MAPS 1-3 Kills),1.0,MAPS 1-3 Kills,121,2023-11-02 03:00:00-05:00,2023-11-02 03:00:00-05:00,2023-10-31 12:21:00,3727cf95-a
302,Chigoziem Okonkwo,PIT,25.5,Receiving Yards,9,2023-11-02 19:15:00-05:00,2023-11-02 19:15:00-05:00,2023-10-31 12:21:00,54f005e6-0
303,TheShy,NRG (MAPS 1-3 Kills),8.5,MAPS 1-3 Kills,121,2023-11-02 03:00:00-05:00,2023-11-02 03:00:00-05:00,2023-10-31 12:21:00,85cfc06b-f
304,Elias Pettersson,NSH,0.5,AST,8,2023-10-31 21:00:00-05:00,2023-10-31 21:00:00-05:00,2023-10-31 12:21:00,ac95110e-1
305,Andrei Kuzmenko,NSH,2.0,Shots On Goal,8,2023-10-31 21:00:00-05:00,2023-10-31 21:00:00-05:00,2023-10-31 12:21:00,f7328a7d-e
306,Roman Josi,VAN,0.5,PTS,8,2023-10-31 21:00:00-05:00,2023-10-31 21:00:00-05:00,2023-10-31 12:21:00,ae3138f6-5
307,Filip Forsberg,VAN,3.5,Shots On Goal,8,2023-10-31 21:00:00-05:00,2023-10-31 21:00:00-05:00,2023-10-31 12:21:00,520606cc-b
308,Weiwei,NRG (MAPS 1-3 Kills),6.5,MAPS 1-3 Kills,121,2023-11-02 03:00:00-05:00,2023-11-02 03:00:00-05:00,2023-10-31 12:21:00,8dabf763-4
309,J.T. Miller,NSH,0.5,AST,8,2023-10-31 21:00:00-05:00,2023-10-31 21:00:00-05:00,2023-10-31 12:21:00,ee58b8e4-5
310,Xiaohu,NRG (MAPS 1-3 Kills),12.5,MAPS 1-3 Kills,121,2023-11-02 03:00:00-05:00,2023-11-02 03:00:00-05:00,2023-10-31 12:21:00,670dec41-0
311,Quinn Hughes,NSH,0.5,AST,8,2023-10-31 21:00:00-05:00,2023-10-31 21:00:00-05:00,2023-10-31 12:21:00,8337e83c-a
312,Brock Boeser,NSH,2.5,Shots On Goal,8,2023-10-31 21:00:00-05:00,2023-10-31 21:00:00-05:00,2023-10-31 12:21:00,56a16b75-7
