,player,opp,line,stat,league,date,scrape_time
201,Facundo Campazzo,Anadolu Efes Istanbul,1.5,3P,151,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
202,Davante Adams,Weeks 6-9,330.5,Receiving Yards,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
203,Facundo Campazzo,Anadolu Efes Istanbul,6.5,AST,151,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
204,Kelsey Plum,NYL,2.5,3P,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
205,Joost Luiten,Thorbjorn Olesen,0.0,Birdies or Better Matchup,131,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
206,kiyotaka,TSpirit (MAPS 1-2 Kills),15.5,MAPS 1-2 Kills,174,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
207,Cameron Davis,TPC Summerlin  RD 1,67.5,Strokes,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
208,Davante Adams,Weeks 6-9,26.5,Receptions,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
209,J.T. Poston,TPC Summerlin  RD 1,5.0,Birdies Or Better,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
210,J.T. Poston,TPC Summerlin  RD 1,68.0,Strokes,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
211,Keenan Allen,Weeks 6-9,320.5,Receiving Yards,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
212,Aaron Nola,ATL,5.0,Pitcher Strikeouts,2,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
213,Courtney Vandersloot,LVA,9.5,PTS,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
214,Courtney Vandersloot,LVA 1st Half,9.5,PTS+TRB+AST,193,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
215,Courtney Vandersloot,LVA,19.5,PTS+TRB+AST,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
216,Courtney Vandersloot,LVA,6.5,AST,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
217,Pakazs,Entity (MAPS 1-2 Kills),16.0,MAPS 1-2 Kills,174,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
218,Austin Riley,PHI,6.5,Hitter Fantasy Score,2,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
219,Payton Pritchard,PHI,15.5,PTS,237,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
220,J.T. Poston,Justin Suh,0.0,Birdies or Better Matchup,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
221,Danielle Hunter,Weeks 6-9,3.75,Sacks,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
222,Ex3rcice,Spirit,13.0,MAP 3 Kills,265,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
223,Jack McVeigh,Illawarra Hawks,14.5,PTS,238,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
224,Damian Lillard,2023-2024 Season,27.2,Points Per Game AVG,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
225,Travis Kelce,DEN,0.5,Pass+Rush+Rec TDs,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
226,Darius Thompson,Real Madrid,5.5,AST,151,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
227,Stephen Curry,2023-2024 Season,28.9,Points Per Game AVG,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
228,Romain Langasque,RD1,68.5,Strokes,131,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
229,Darius Thompson,Real Madrid,9.5,PTS,151,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
230,Romain Langasque,Adrian Otaegui,0.0,Birdies or Better Matchup,131,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
231,Stephen Curry,2023-2024 Season,1.5,50+ Point Games,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
232,Emina Bektas,S. Jang (Seoul),21.5,Total Games,5,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
233,Emina Bektas,S. Jang (Seoul),4.0,Break Points Won,5,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
234,Emina Bektas,S. Jang (Seoul),4.5,Aces,5,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
235,Stephen Curry,2023-2024 Season,6.0,Assists Per Game AVG,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
236,Stephen Curry,2023-2024 Season,4.8,3PT Made Per Game AVG,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
237,Joe Ryan,HOU,4.5,Hits Allowed,2,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
238,Brian Robinson Jr.,Weeks 6-9,246.5,Rush Yards,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
239,Micah Hyde,Weeks 6-9,0.5,INT,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
240,Courtney Vandersloot,LVA,9.0,FGA,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
241,Courtney Vandersloot,LVA 1st Half,4.5,PTS,193,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
242,Leonard Floyd,Weeks 6-9,2.75,Sacks,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
243,Josh Jacobs,Weeks 6-9,2.5,Rush TDs,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
244,Stephen Curry,2023-2024 Season,0.5,Triple-Doubles,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
245,eluwu,NYX Kyosei (MAPS 1-2 Kills),37.5,MAPS 1-2 Kills,159,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
246,Courtney Vandersloot,LVA,16.0,PTS+AST,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
247,Courtney Vandersloot,LVA,10.0,TRB+AST,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
248,Courtney Vandersloot,LVA,5.5,FG Missed,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
249,Stephen Curry,2023-2024 Season,9.5,Double-Doubles,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
250,Courtney Vandersloot,LVA,4.0,FG,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
251,Kevin Durant,2023-2024 Season,26.7,Points Per Game AVG,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
252,Kevin Durant,2023-2024 Season,17.5,30+ Point Games,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
253,Isiah Pacheco,DEN,0.5,Pass+Rush+Rec TDs,9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
254,Jose Urquidy,MIN,11.5,Pitching Outs,2,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
255,Chelsea Gray,NYL,29.5,PTS+TRB+AST,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
256,Adrian Otaegui ,RD1,68.5,Strokes,131,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
257,Mario Hezonja,Anadolu Efes Istanbul,3.5,TRB,151,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
258,Chelsea Gray,NYL,2.5,TOV,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
259,Bryce Elder,PHI,3.0,Pitcher Strikeouts,2,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
260,Chelsea Gray,NYL,22.0,PTS+TRB,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
261,Sam Froling,Tasmania JackJumpers,8.5,TRB,238,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
262,Sam Froling,Tasmania JackJumpers,24.5,PTS+TRB+AST,238,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
263,Kevin Durant,2023-2024 Season,1.5,Triple-Doubles,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
264,Sam Froling,Tasmania JackJumpers,13.5,PTS,238,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
265,Chelsea Gray,NYL,7.0,FG Missed,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
266,Chelsea Gray,NYL,13.5,FGA,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
267,lunah,NYX Kyosei (MAPS 1-2 Kills),36.0,MAPS 1-2 Kills,159,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
268,Puka Nacua,Weeks 6-9,23.5,Receptions,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
269,Jaden Springer,BOS,12.5,PTS,237,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
270,Si Woo Kim,Vincent Norrman,0.0,Birdies or Better Matchup,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
271,Chelsea Gray,NYL,12.5,TRB+AST,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
272,Chelsea Gray,NYL,24.5,PTS+AST,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
273,Marie Bouzkova,E. Lys (Seoul),20.5,Total Games,5,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
274,Si Woo Kim,TPC Summerlin  RD 1,67.5,Strokes,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
275,Harrison Butker + Wil Lutz,DEN/KC,3.5,FG Made (Combo),9,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
276,Mario Hezonja,Anadolu Efes Istanbul,9.5,PTS,151,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
277,Si Woo Kim,TPC Summerlin  RD 1,5.0,Birdies Or Better,1,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
278,Chelsea Gray,NYL,5.0,TRB,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
279,Kevin Durant,2023-2024 Season,10.5,Technical Fouls,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
280,Chelsea Gray,NYL,7.5,AST,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
281,Chris Luck,Entity (MAPS 1-2 Kills),12.5,MAPS 1-2 Kills,174,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
282,Chelsea Gray,NYL,6.5,FG,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
283,Chelsea Gray,NYL 1st Half,14.5,PTS+TRB+AST,193,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
284,donk,Looking4Org,17.5,MAP 3 Kills,265,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
285,Chelsea Gray,NYL,3.5,3PA,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
286,Khalil Mack,Weeks 6-9,2.5,Sacks,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
287,James Cook,Weeks 6-9,225.5,Rush Yards,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
288,Jaylen Waddle,Weeks 6-9,292.5,Receiving Yards,263,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
289,Kevin Durant,2023-2024 Season,0.5,50+ Point Games,173,2023-10-24 00:00:00-05:00,2023-10-11 14:27:00-05:00
290,Marie Bouzkova,E. Lys (Seoul),4.5,Break Points Won,5,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
291,Chelsea Gray,NYL 1st Half,8.5,PTS,193,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
292,Marie Bouzkova,E. Lys (Seoul),2.0,Aces,5,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
293,Chelsea Gray,NYL,17.0,PTS,3,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
294,Nico Williams,Scotland,1.5,Shots,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
295,Ansu Fati,Scotland,2.5,Shots,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
296,Trea Turner,ATL,1.5,Total Bases,2,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
297,Ugurcan Cakir,Croatia,3.5,Goalie Saves,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
298,Alexander Sorloth,Cyprus,2.0,Shots,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
299,Erling Haaland,Cyprus,4.5,Shots,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
300,Grigoris Kastanos,Norway,34.5,Passes Attempted,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
301,Antonio Nusa,Cyprus,2.0,Shots,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
302,Fredrik Aursnes,Cyprus,2.5,Shots Assisted,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
303,Martin Odegaard,Cyprus,72.5,Passes Attempted,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
304,Erling Haaland,Cyprus,2.0,Shots On Target,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
305,Joel Mall,Norway,4.5,Goalie Saves,82,2023-10-12 00:00:00-05:00,2023-10-11 14:27:00-05:00
306,Auston Matthews,2023-2024 Season,51.5,Goals,236,2023-10-11 00:00:00-05:00,2023-10-11 14:27:00-05:00
